gene 	 shG9a_E2-
TSPYL4 	 4855
EPRS 	 7292
EEF1A1P9 	 84
ZBTB7A 	 5931
EIF2S2 	 6978
MAPK1 	 6535
SORT1 	 9775
PTGFRN 	 5928
CLIC4 	 14925
SPEN 	 7469
RRM2B 	 6053
CRABP2 	 5623
CMTM6 	 5782
AKAP11 	 6612
SKA2 	 7918
SEMA3C 	 7233
RRAGA 	 5451
F11R 	 6902
IREB2 	 6503
TMED8 	 4353
NDST1 	 5235
PNRC2 	 3381
TPR 	 7846
LIN7A 	 4939
ALDH1B1 	 20786
C19orf53 	 4987
RPL4P4 	 2629
KIAA0947 	 6120
PDS5A 	 4643
REST 	 6606
NPLOC4 	 6818
SERF2 	 3482
RPS3AP26 	 1029
SCAF1 	 5934
PSME1 	 5509
SF3B3 	 4104
HADHA 	 6578
RPL9P8 	 127
SIAH2 	 5741
EIF4A2 	 5054
SPCS3 	 5264
BOK 	 8166
SMARCD2 	 5172
RPL36 	 6222
TMEM183A 	 6496
SHROOM3 	 6791
NAMPT 	 4922
RPL17 	 324
MTPN 	 6755
ULK1 	 8278
AKT1 	 6115
RAB21 	 4839
ARL5B 	 4474
LDLR 	 7643
GNAQ 	 6941
SMARCA5 	 6424
GPX4 	 4224
HDGFRP3 	 4748
PSMB2 	 7406
NMT1 	 7433
MAPK1IP1L 	 6074
KRT8P32 	 2581
BMS1 	 4812
FAM168A 	 5593
NPM1 	 1304
RP11-220I1.1 	 4952
PYGB 	 7398
RP11-159D12.9 	 6479
PPP1R15A 	 6036
MAGEF1 	 5116
C16orf72 	 6825
ATP9B 	 630
RNA5-8S5 	 398
EVPL 	 8087
RPL14 	 4526
IER5 	 8513
C7orf73 	 4988
SIK1 	 9882
TNFRSF21 	 8853
ADCY1 	 6049
SMC1A 	 4010
CAB39 	 8226
LRPPRC 	 4761
RPS13 	 4313
HIST2H4B 	 2132
KBTBD2 	 6063
RBM15B 	 4717
IDS 	 12119
C6orf211 	 3319
DEK 	 3852
HIST2H4A 	 1995
ITPR3 	 4382
VMA21 	 4299
ATF5 	 4664
ZC3H4 	 5071
ZFP91 	 5675
MEA1 	 4802
RP11-18F14.2 	 8252
HIPK2 	 4496
EIF5B 	 6031
C19orf21 	 8745
RRS1 	 4451
TUBA1B 	 4479
UBE2O 	 4872
RP5-1166F10.1 	 0
SELT 	 5875
CTC-575D19.1 	 1683
LMTK2 	 6134
UBE2R2 	 6045
OPHN1 	 1484
TRIM14 	 8944
CBX6 	 4268
MAN1A2 	 7695
G6PD 	 5395
BTF3 	 3518
GOLGA2 	 6245
TOB1 	 3339
ZMPSTE24 	 5095
CEBPB 	 4946
GBF1 	 6313
HIGD2A 	 4664
ZNF703 	 3145
KIAA1244 	 5939
MAML1 	 5030
OIP5-AS1 	 4857
RPL7AP66 	 145
PPA1 	 5690
BZW1 	 5434
DENR 	 3450
HIST1H2AC 	 4969
UQCRB 	 5386
CD81 	 10464
PRKAB2 	 7937
VEZF1 	 4503
C5orf15 	 5034
RPS3A 	 210
EIF3G 	 4571
GRWD1 	 3988
HSPA9 	 4305
DSG2 	 8335
SOGA1 	 3255
TMED9 	 5258
IER5L 	 6037
GNG12 	 6607
PDAP1 	 4345
HEXIM1 	 5561
ZRANB1 	 6412
ITM2B 	 5939
WDR83OS 	 3751
MRPS23 	 4171
CHMP4B 	 7880
LSM12 	 4210
FAM127C 	 4305
DYNC1LI2 	 4461
RBM8A 	 3995
PARP4 	 4229
SYMPK 	 4692
PPM1H 	 6706
MECP2 	 4994
CNNM4 	 4890
PRDX6 	 6568
UBE2S 	 3148
KHSRP 	 4227
RPS18 	 0
ROCK1 	 6891
ANKRD50 	 4865
DLST 	 3441
RP11-196G18.22 	 3902
CDC42BPB 	 5903
RABIF 	 4404
KIAA0494 	 5081
DKC1 	 2681
PKD1P5 	 247
RYBP 	 4625
MAN1A1 	 4263
NBPF24 	 43
AFG3L2 	 4449
RAB11A 	 4374
BIRC6 	 5976
COIL 	 4152
KLHL36 	 4057
BTBD1 	 3769
LPGAT1 	 4522
DOPEY2 	 5864
TRAM2 	 5094
RTF1 	 4273
LAMP2 	 5392
LAMA5 	 9011
RP11-958N24.2 	 124
MRGBP 	 4391
G3BP1 	 3905
BHLHE40 	 8024
TM9SF2 	 5357
PACS1 	 6723
DCAF12 	 3964
CDKN2B 	 6216
HINT3 	 5307
PDLIM1 	 11145
NEDD4 	 1001
CPSF2 	 4308
MAP3K2 	 4806
PREP 	 6353
DUSP3 	 6082
STX12 	 12499
EIF4BP6 	 1207
ANP32B 	 3989
CCNT1 	 3826
ATP6V1A 	 4956
TMPO 	 2906
ANKIB1 	 4362
CDC5L 	 4683
FAM83B 	 6293
RP11-526L22.1 	 427
OXSR1 	 4994
TRAK2 	 6569
TOP2A 	 2978
RP11-429J17.6 	 3797
CCDC97 	 4273
SSR4 	 4169
NIPSNAP1 	 4795
SRF 	 6873
RP5-857K21.7 	 1197
NDUFB7 	 4851
C17orf76-AS1 	 2367
MOB1A 	 5112
NDUFA1 	 4311
ZHX2 	 4019
JAGN1 	 4571
NUAK1 	 7580
YTHDF1 	 3926
ARHGAP1 	 6375
AP1G1 	 4353
TMEM245 	 6874
ACBD3 	 4933
TDG 	 4550
CEBPG 	 4133
CKAP4 	 4488
MBTD1 	 3735
RPL39 	 2916
AP000350.4 	 6429
ISOC1 	 3412
PLXNA3 	 5431
TRIM44 	 4778
CREG1 	 5160
PYURF 	 3843
PSMC1P1 	 2537
TMX4 	 5009
AL589743.1 	 3056
C5orf43 	 3883
RPL13AP5 	 150
GIGYF1 	 4148
SPOPL 	 5960
MAGT1 	 4134
MAN2A1 	 5112
RPS23P8 	 1704
GAS5 	 3201
SLC31A1 	 4473
AL590867.1 	 497
HSP90AA1 	 4886
BTG2 	 6223
PDCD11 	 2852
AIM1 	 4616
ZNF704 	 3938
SLC25A36 	 3528
LEPROT 	 6155
CHD2 	 4082
FKBP1A 	 4000
LDOC1L 	 3177
WBP2 	 5697
TCEB3 	 4976
VKORC1L1 	 3475
RSL24D1 	 3251
HNRNPUL2 	 3327
FOXK1 	 3621
RPL13A 	 150
ELOF1 	 3893
FAT1 	 3620
MRP63 	 4430
RAB3D 	 4175
LPPR2 	 5305
RP11-51L5.5 	 3142
RAB2A 	 4544
FUCA2 	 4324
CYCS 	 3220
HELZ 	 4035
TKT 	 4004
ZBTB11 	 3983
RP11-673C5.1 	 550
PPP2R5E 	 4581
ZER1 	 5320
UBC 	 6327
HSBP1 	 3818
CHMP2B 	 5017
EIF2S1 	 4149
SLC16A2 	 2270
CBX4 	 8249
CMPK1 	 3485
CMTM4 	 4033
DHX15 	 3784
RP11-50D9.1 	 1
DNAJA1 	 4269
FAM199X 	 4646
UBTD2 	 3681
MIB1 	 4456
PRPF40A 	 4667
SKIL 	 3069
HSPA1A 	 0
XXbac-BPG154L12.4 	 330
GATAD1 	 5266
VPS37C 	 4115
RP11-513I15.6 	 2467
TFAP2C 	 5402
RP11-395B7.7 	 3820
CSNK1G1 	 4917
NEK7 	 4310
WWC3 	 9906
STOM 	 7266
GATAD2B 	 4152
